id,lat,lon,type,name
B001,6.9344,79.8428,commercial,Fort Railway Station
B002,6.9349,79.8538,commercial,Pettah Market
B003,6.9318,79.8478,commercial,Manning Market
B004,6.9295,79.8445,commercial,World Trade Center
B005,6.9214,79.8533,park,Beira Lake
B006,6.9271,79.8612,mixed,Independence Square
B007,6.9197,79.8553,park,National Museum
B008,6.9147,79.8731,park,Viharamahadevi Park
B009,6.8942,79.8553,residential,Bambalapitiya Junction
B010,6.8868,79.8572,residential,Wellawatta Beach
B011,6.8795,79.8593,residential,Dehiwala Junction
B012,6.8912,79.8531,residential,Railway Avenue
B013,6.9103,79.85,commercial,Kollupitiya Market
B014,6.9185,79.8475,commercial,Liberty Plaza
B015,6.9089,79.8565,park,Galle Face North
B016,6.9045,79.858,park,Galle Face South
B017,6.8372,79.8631,residential,Mount Lavinia Beach
B018,6.8425,79.861,residential,Golden Mile Beach
B019,6.8315,79.8645,residential,Hotel Road
B020,6.8654,79.8896,suburban,Nugegoda Junction
B021,6.8532,79.9102,suburban,Maharagama Junction
B022,6.8701,79.8965,suburban,Nawala Junction
B023,6.9145,79.901,commercial,Rajagiriya Junction
B024,6.9012,79.9189,park,Battaramulla Lake
B025,6.9098,79.8875,suburban,Kotte Road
B026,6.8543,79.8654,residential,Zoo Area
B027,6.8412,79.8798,mixed,Ratmalana Airport
B028,6.8498,79.8721,residential,Kalubowila Hospital
B029,6.9183,79.8687,residential,Borella Junction
B030,6.9319,79.865,commercial,Maradana Station
