ts,bin_id,fill_pct,batt_v,temp_c,emptied,lat,lon
2025-11-13T04:26:36.803300,B001,21.0,3.82,31.1,False,6.9344,79.8428
2025-11-13T08:26:36.803300,B001,40.3,3.76,32.5,False,6.9344,79.8428
2025-11-13T12:26:36.803300,B001,70.1,3.84,32.8,False,6.9344,79.8428
2025-11-13T16:26:36.803300,B001,12.0,3.79,35.9,True,6.9344,79.8428
2025-11-13T20:26:36.803300,B001,38.0,3.78,32.0,False,6.9344,79.8428
2025-11-14T00:26:36.803300,B001,45.3,3.77,29.8,False,6.9344,79.8428
2025-11-14T04:26:36.803300,B001,50.8,3.73,29.6,False,6.9344,79.8428
2025-11-14T08:26:36.803300,B001,89.1,3.71,31.5,False,6.9344,79.8428
2025-11-14T12:26:36.803300,B001,18.1,3.82,32.6,True,6.9344,79.8428
2025-11-14T16:26:36.803300,B001,48.4,3.8,32.2,False,6.9344,79.8428
2025-11-14T20:26:36.803300,B001,71.3,3.78,32.2,False,6.9344,79.8428
2025-11-15T00:26:36.803300,B001,82.6,3.77,26.9,False,6.9344,79.8428
2025-11-15T04:26:36.803300,B001,22.9,3.76,28.8,True,6.9344,79.8428
2025-11-15T08:26:36.803300,B001,58.2,3.74,31.3,False,6.9344,79.8428
2025-11-15T12:26:36.803300,B001,15.9,3.71,32.6,True,6.9344,79.8428
2025-11-15T16:26:36.803300,B001,56.5,3.74,34.8,False,6.9344,79.8428
2025-11-15T20:26:36.803300,B001,86.6,3.75,31.8,False,6.9344,79.8428
2025-11-16T00:26:36.803300,B001,15.9,3.76,30.6,True,6.9344,79.8428
2025-11-16T04:26:36.803300,B001,22.0,3.74,29.9,False,6.9344,79.8428
2025-11-16T08:26:36.803300,B001,53.0,3.81,34.6,False,6.9344,79.8428
2025-11-16T12:26:36.803300,B001,23.2,3.66,30.8,True,6.9344,79.8428
2025-11-16T16:26:36.803300,B001,55.7,3.69,33.0,False,6.9344,79.8428
2025-11-16T20:26:36.803300,B001,84.5,3.68,29.7,False,6.9344,79.8428
2025-11-17T00:26:36.803300,B001,90.1,3.7,26.4,False,6.9344,79.8428
2025-11-17T04:26:36.803300,B001,18.2,3.8,28.5,True,6.9344,79.8428
2025-11-17T08:26:36.803300,B001,34.0,3.67,32.8,False,6.9344,79.8428
2025-11-17T12:26:36.803300,B001,58.3,3.72,30.6,False,6.9344,79.8428
2025-11-17T16:26:36.803300,B001,12.2,3.67,36.3,True,6.9344,79.8428
2025-11-17T20:26:36.803300,B001,77.6,3.64,35.0,False,6.9344,79.8428
2025-11-18T00:26:36.803300,B001,84.8,3.68,26.5,False,6.9344,79.8428
2025-11-18T04:26:36.803300,B001,17.8,3.74,27.8,True,6.9344,79.8428
2025-11-18T08:26:36.803300,B001,57.7,3.71,29.2,False,6.9344,79.8428
2025-11-18T12:26:36.803300,B001,15.7,3.69,31.8,True,6.9344,79.8428
2025-11-18T16:26:36.803300,B001,43.6,3.71,31.9,False,6.9344,79.8428
2025-11-18T20:26:36.803300,B001,68.5,3.69,32.1,False,6.9344,79.8428
2025-11-19T00:26:36.803300,B001,77.0,3.71,27.2,False,6.9344,79.8428
2025-11-19T04:26:36.803300,B001,84.9,3.72,32.7,False,6.9344,79.8428
2025-11-19T08:26:36.803300,B001,13.3,3.64,33.7,True,6.9344,79.8428
2025-11-19T12:26:36.803300,B001,42.5,3.63,36.5,False,6.9344,79.8428
2025-11-19T16:26:36.803300,B001,69.4,3.74,32.1,False,6.9344,79.8428
2025-11-19T20:26:36.803300,B001,20.4,3.7,30.0,True,6.9344,79.8428
2025-11-20T00:26:36.803300,B001,27.7,3.69,29.7,False,6.9344,79.8428
2025-11-20T04:26:36.803300,B001,31.4,3.73,29.0,False,6.9344,79.8428
2025-11-20T08:26:36.803300,B001,47.8,3.62,29.2,False,6.9344,79.8428
2025-11-20T12:26:36.803300,B001,82.7,3.65,34.2,False,6.9344,79.8428
2025-11-20T16:26:36.803300,B001,16.7,3.67,34.0,True,6.9344,79.8428
2025-11-20T20:26:36.803300,B001,37.7,3.63,32.9,False,6.9344,79.8428
2025-11-21T00:26:36.803300,B001,43.2,3.62,26.3,False,6.9344,79.8428
2025-11-21T04:26:36.803300,B001,50.0,3.69,33.6,False,6.9344,79.8428
2025-11-21T08:26:36.803300,B001,71.6,3.63,30.4,False,6.9344,79.8428
2025-11-21T12:26:36.803300,B001,12.8,3.56,31.7,True,6.9344,79.8428
2025-11-21T16:26:36.803300,B001,37.1,3.58,34.6,False,6.9344,79.8428
2025-11-21T20:26:36.803300,B001,64.1,3.63,33.4,False,6.9344,79.8428
2025-11-22T00:26:36.803300,B001,80.1,3.66,27.2,False,6.9344,79.8428
2025-11-22T04:26:36.803300,B001,85.7,3.64,29.6,False,6.9344,79.8428
2025-11-22T08:26:36.803300,B001,20.4,3.67,34.5,True,6.9344,79.8428
2025-11-22T12:26:36.803300,B001,62.0,3.56,35.1,False,6.9344,79.8428
2025-11-22T16:26:36.803300,B001,24.4,3.54,33.0,True,6.9344,79.8428
